"MES";"DIA";"HORA";"PROVINCIA";"CANTON";"ZONA";"NUM_FALLECIDO";"NUM_LESIONADO";"TOTAL_VICTIMAS";"CLASE";"CAUSA"
1;2;11;10;"1004";1;0;0;0;7;4
1;2;23;10;"1001";2;0;0;0;8;10
1;2;12;18;"1801";1;0;3;3;3;7
1;2;7;18;"1801";2;0;1;1;1;1
1;2;4;17;"1701";1;0;0;0;4;3
1;2;14;17;"1701";1;0;0;0;4;7
1;2;1;17;"1701";1;0;0;0;4;3
1;2;20;8;"0805";2;0;0;0;3;4
1;2;1;17;"1701";1;0;0;0;3;3
1;2;10;17;"1701";1;0;1;1;2;4
1;2;8;17;"1701";2;0;5;5;4;3
1;2;9;17;"1701";1;0;1;1;3;4
1;2;14;17;"1701";1;0;1;1;1;4
1;2;16;17;"1701";1;0;1;1;3;7
1;2;6;17;"1701";2;0;0;0;4;3
1;2;6;17;"1701";1;0;0;0;3;7
1;2;7;17;"1701";1;0;1;1;4;3
1;2;7;17;"1701";1;0;0;0;4;1
1;2;13;17;"1701";1;0;0;0;5;1
1;2;1;17;"1701";1;0;1;1;1;4
1;2;9;17;"1701";1;0;0;0;4;3
1;2;20;17;"1701";1;0;0;0;3;3
1;2;19;23;"2301";1;0;1;1;3;4
1;2;18;23;"2301";1;0;1;1;2;4
1;2;12;13;"1308";1;0;0;0;3;7
1;2;11;13;"1308";1;0;1;1;1;1
1;2;3;13;"1308";1;0;0;0;3;4
1;2;3;1;"0101";1;0;1;1;5;1
1;2;21;1;"0101";2;1;1;2;4;4
1;2;11;12;"1207";2;0;1;1;3;4
1;2;20;9;"0908";2;0;0;0;1;4
1;2;8;12;"1207";2;0;5;5;8;4
1;2;17;9;"0901";2;0;0;0;7;4
1;2;21;9;"0925";2;0;1;1;1;4
1;2;13;24;"2403";1;0;0;0;7;4
1;2;19;9;"0906";2;0;2;2;5;4
1;2;11;9;"0927";2;0;1;1;3;7
1;2;18;13;"1312";2;0;5;5;3;4
1;2;12;9;"0919";2;0;1;1;1;4
1;2;11;9;"0910";1;0;1;1;4;4
1;2;13;9;"0907";2;0;3;3;3;2
1;2;23;12;"1205";2;0;1;1;3;4
1;2;3;9;"0912";2;0;0;0;3;7
1;2;23;1;"0101";2;0;2;2;7;2
1;2;4;9;"0907";1;0;2;2;4;4
1;2;11;24;"2401";2;0;2;2;3;4
1;2;16;9;"0910";1;0;1;1;3;7
1;2;10;13;"1301";2;0;1;1;7;4
1;2;8;9;"0906";1;0;1;1;2;5
1;2;17;24;"2401";1;0;1;1;3;4
1;2;15;23;"2301";2;0;1;1;3;4
1;2;13;9;"0921";2;0;3;3;7;4
1;2;9;9;"0916";2;0;0;0;7;2
1;2;9;9;"0906";2;2;0;2;4;4
1;2;14;9;"0903";2;0;1;1;2;5
1;2;11;9;"0916";2;0;2;2;3;4
1;2;11;9;"0921";2;0;1;1;7;5
1;2;9;9;"0907";2;0;0;0;3;4
1;2;7;1;"0101";2;0;0;0;3;2
1;2;11;9;"0907";2;0;0;0;4;4
1;2;7;9;"0910";2;0;0;0;7;4
1;2;5;9;"0906";2;0;1;1;3;7
1;2;2;9;"0903";2;0;3;3;3;7
1;2;3;9;"0906";2;0;1;1;1;4
1;2;3;24;"2402";1;0;2;2;3;4
1;2;0;9;"0910";1;0;2;2;1;4
1;2;2;9;"0910";2;0;1;1;1;4
1;2;18;13;"1314";2;1;0;1;3;4
1;2;0;2;"0205";2;0;1;1;1;4
1;2;16;21;"2101";2;1;1;2;7;4
1;2;7;2;"0205";2;1;0;1;7;4
1;2;7;3;"0303";2;0;0;0;3;4
1;2;9;15;"1501";2;0;1;1;7;1
1;2;7;18;"1801";2;0;0;0;4;4
1;2;20;18;"1801";2;1;0;1;1;5
1;2;23;18;"1801";2;0;0;0;3;4
1;2;13;5;"0501";2;1;0;1;7;10
1;2;23;5;"0505";2;1;0;1;1;10
1;2;4;16;"1601";2;1;0;1;1;5
1;2;6;17;"1703";2;1;0;1;4;4
1;2;16;22;"2204";2;1;1;2;7;4
1;2;3;17;"1703";2;1;3;4;3;4
1;2;5;10;"1004";2;1;0;1;7;4
1;2;21;10;"1004";2;1;0;1;1;5
1;2;5;17;"1701";2;0;1;1;1;1
1;2;18;8;"0806";2;1;0;1;1;5
1;2;21;6;"0601";2;0;0;0;3;1
1;2;8;6;"0601";2;0;0;0;3;4
1;2;1;6;"0601";2;0;1;1;3;4
1;2;20;4;"0401";2;0;3;3;3;1
1;2;8;1;"0102";2;1;1;2;7;4
1;2;2;22;"2201";2;0;2;2;7;4
1;2;5;22;"2201";2;0;1;1;3;4
1;2;2;9;"0901";1;0;2;2;3;4
1;2;5;9;"0901";1;0;3;3;1;3
1;2;6;9;"0901";1;0;1;1;7;1
1;2;8;9;"0901";1;0;1;1;5;1
1;2;8;9;"0901";1;0;1;1;7;3
1;2;7;9;"0901";1;0;0;0;7;1
1;2;5;9;"0901";1;0;0;0;4;3
1;2;9;9;"0901";1;1;1;2;1;1
1;2;8;9;"0901";1;0;0;0;4;3
1;2;10;9;"0901";1;0;1;1;1;1
1;2;10;9;"0901";1;0;0;0;7;3
1;2;10;9;"0901";1;0;1;1;3;1
1;2;7;9;"0901";1;0;0;0;4;3
1;2;12;9;"0901";1;0;0;0;3;3
1;2;10;9;"0901";1;0;1;1;5;4
1;2;14;9;"0901";1;0;2;2;3;2
1;2;16;9;"0901";1;0;2;2;3;7
1;2;16;9;"0901";1;0;0;0;7;3
1;2;15;9;"0901";1;0;1;1;7;3
1;2;18;9;"0901";1;0;1;1;1;1
1;2;19;9;"0901";1;0;1;1;1;3
1;2;22;9;"0901";1;0;2;2;4;1
1;2;1;9;"0901";1;0;1;1;1;3
1;2;6;9;"0901";1;0;1;1;6;3
1;3;15;18;"1801";1;0;4;4;3;7
1;3;13;17;"1701";1;0;1;1;8;10
1;3;19;17;"1701";1;0;0;0;3;4
1;3;15;17;"1701";1;0;1;1;4;3
1;3;0;17;"1701";2;0;5;5;4;4
1;3;9;17;"1701";1;0;1;1;1;4
1;3;13;17;"1701";1;0;0;0;3;4
1;3;15;17;"1701";2;0;0;0;3;4
1;3;12;17;"1701";1;0;1;1;8;3
1;3;16;17;"1701";1;1;0;1;1;4
1;3;16;17;"1701";1;0;0;0;4;3
1;3;12;23;"2301";1;0;1;1;2;4
1;3;20;23;"2301";1;0;1;1;1;5
1;3;18;9;"0906";1;0;1;1;3;7
1;3;14;9;"0901";1;0;1;1;1;4
1;3;9;13;"1309";2;0;0;0;3;4
1;3;15;9;"0912";2;0;2;2;3;4
1;3;22;9;"0901";2;0;1;1;4;4
1;3;20;13;"1301";2;1;0;1;4;4
1;3;16;13;"1309";2;0;2;2;3;4
1;3;17;9;"0916";1;0;0;0;4;4
1;3;8;9;"0901";2;0;1;1;3;4
1;3;8;13;"1301";2;0;0;0;3;4
1;3;14;9;"0901";1;0;0;0;7;4
1;3;10;24;"2401";2;0;2;2;7;4
1;3;10;9;"0901";2;0;1;1;1;4
1;3;12;9;"0901";2;0;0;0;3;7
1;3;6;9;"0906";1;0;1;1;3;7
1;3;10;7;"0706";2;0;0;0;3;4
1;3;4;7;"0702";2;0;0;0;8;4
1;3;0;23;"2301";2;0;5;5;3;2
1;3;0;21;"2105";2;1;0;1;3;4
1;3;7;18;"1806";2;0;0;0;4;4
1;3;6;3;"0301";2;0;1;1;1;4
1;3;8;18;"1808";2;0;2;2;3;4
1;3;15;6;"0601";2;0;0;0;3;4
1;3;8;6;"0601";2;0;1;1;1;4
1;3;18;3;"0301";2;1;0;1;7;4
1;3;21;7;"0701";2;0;1;1;7;4
1;3;13;9;"0901";1;0;1;1;1;3
1;3;11;9;"0901";1;0;1;1;4;3
1;3;12;9;"0901";1;0;2;2;3;2
1;3;16;9;"0901";1;0;0;0;7;3
1;3;12;9;"0901";1;0;2;2;7;3
1;3;14;9;"0901";1;0;1;1;2;2
1;3;15;9;"0901";1;0;0;0;4;8
1;3;18;9;"0901";1;0;0;0;3;7
1;3;23;9;"0901";1;1;0;1;1;3
1;4;8;10;"1004";1;0;0;0;3;7
